Date,DeviceSerialNumber,SensorType,Value,Unit,Status
2021-12-28 16:04,CH20211110,Light,136,Lux,error
2021-12-28 16:04,CH20211110,Light,135,Lux,error
2021-12-28 16:04,CH20211110,Light,135,Lux,error
2021-12-28 16:04,CH20211110,Light,135,Lux,error
2021-12-28 16:04,CH20211110,Light,135,Lux,error
2021-12-28 16:04,CH20211110,Light,135,Lux,error
2021-12-28 16:04,CH20211110,Light,125,Lux,error
2021-12-28 16:04,CH20211110,Light,125,Lux,error
2021-12-28 16:04,CH20211110,Light,125,Lux,error
2021-12-28 16:04,CH20211110,Light,125,Lux,error
2021-12-28 16:04,CH20211110,Light,125,Lux,error
2021-12-28 16:04,CH20211110,Light,103,Lux,good
2021-12-28 17:05,CH20211110,Light,97,Lux,good
2021-12-28 17:05,CH20211110,Light,92,Lux,good
2021-12-28 17:05,CH20211110,Light,83,Lux,good
2021-12-28 17:05,CH20211110,Light,76,Lux,good
2021-12-28 17:05,CH20211110,Light,73,Lux,good
2021-12-28 17:05,CH20211110,Light,69,Lux,good
2021-12-28 17:05,CH20211110,Light,65,Lux,good
2021-12-28 17:05,CH20211110,Light,64,Lux,good
2021-12-28 17:05,CH20211110,Light,63,Lux,good
2021-12-28 17:05,CH20211110,Light,62,Lux,good
2021-12-28 17:05,CH20211110,Light,62,Lux,good
2021-12-28 17:05,CH20211110,Light,62,Lux,good
2021-12-28 18:06,CH20211110,Light,62,Lux,good
2021-12-28 18:06,CH20211110,Light,62,Lux,good
2021-12-28 18:06,CH20211110,Light,62,Lux,good
2021-12-28 19:07,CH20211110,Light,62,Lux,good
2021-12-28 19:07,CH20211110,Light,62,Lux,good
2021-12-28 20:08,CH20211110,Light,62,Lux,good
2021-12-28 20:08,CH20211110,Light,62,Lux,good
2021-12-28 20:08,CH20211110,Light,62,Lux,good
